Scottish Government
NCR
CSC
Advanced Micro Devices
CA Technologies
Wipro Technologies - IN
Sibar Software Services
HSBC for BJSS Ltd - Sheffield
Skills Funding Agency for Test Direct Ltd - Coventry
Provident Insurance Project - Halifax
Kratos Analytical Ltd
Liquid Accounts Ltd
Zone 4 Energy
T
OCA Ltd
JVM Ltd
HSBC Bank PLC - London
Prudential Assurance - London
Sainsburys - London
HCL - Noida
Uttar Pradesh
Samtel Color - Ghaziabad
Dyson Technology - Swindon
MPG Test Automation
STB Functional testing and Automation Test Tool Building
HSI and LLT
Tata Consultancy Services - Bangalore
Karnataka
Philips India - Bangalore
IPolicy Test Automation
Tech Mahindra - IN
Airbus A350 PAX CIDS
Wipro Technologies - Bangalore
Airbus A380 PAX
Wipro - Bangalore
AEGON NL - The Hague
Netherlands
AEGON NL - Chennai
Syscom water Technologies - București
Uttis Industries SRL
SC BARLINEK
ID Systems - Grangemouth
Kentz Technical Support Services - Cold Lake
AB
Viterra - Regina
SK
Crop Production Services - Regina
NB Power - Lepreau
NB
Mediatek - Cambridgeshire
UK
Citrix Systems (UK) Ltd - Cambridgeshire
ACT School of Computing - Kampala
Azuro (UK) Ltd - Cambridge
Autonomy Systems Ltd - Cambridge
Cambridge University Engineering Department
British Telecom - Ipswich
PFS - Montréal
QC
Jalasoft - Houston
TX
Imprenta JV
OmniLogic - Cochabamba
Informatika Company for Educative Software English4beginners
Sasken Communication Technologies Ltd
KTwo Technology Solutions India - IN
Fencetech - Reading
Faac - Basingstoke
Choiceall Limited - Woking
Intertest - Slough
Allgood Guttering - Maidenhead
S
C
Euro Gas Systems S
R
L
COIN MOBILE TECHNOLOGIES
Mumbai
Dyson Research Design and Development - Malmesbury
Harman International - Winchester
Microsoft Corporation - Winchester
ST Ericsson - Raleigh
NC
Research in Motion - Slough
Adobe Systems - London
NXP - Southampton
Motorola - Basingstoke
Nokia
Panasonic Mobile Development of Europe - Thatcham
Airspan Communications - Slough
Alcatel-Lucent - Timișoara
Alcatel-Lucent - Stuttgart
CGI - Smart Metering
Daimler
Lufthansa
and HP
British Telecom
MAVERIC SYSTEMS
CSS CORP
PLF INTERNATIONAL - Harwich
Proserv UK Ltd - Great Yarmouth
Siracusa Engineering Consultancy
Beloit Italy - IT
SQS Group - Chennai
Siebel
Invenger Technologies - Mangalore
The Royal Bank of Scotland - London
Exeter University Computer Science Society - Exeter
Various Roles - Exeter
Various Roles
Microsoft Imagine Cup - UK Finalist - London
Northrop Grumman - Cheltenham
Saffron Building Society - Great Chesterford
Capita - Trowbridge
New Dawn Homes - Cheltenham
EDW Technology LTD - Milton Keynes
Invar Systems - Cranfield
Lloyds Banking Group - Gloucester
JJB Sports PLC - Gloucester
Eckoh UK - Hemel Hempstead
Thales Communications & Security-NATO Communication and Information Agency - Paris (75)
Thales Communications & Security - Paris (75)
Exalogic Solutions Ltd - London
Infosys Technologies
Accenture Ltd
United Utilities - Warrington
Lloyds Banking Group
UK - Waterfall
Mastek Limited - Manchester
V2 Solutions
Infomedia
Nayamode Solutions
Neoquant Solutions
Zillion Technology Services
MASTER COMMUNICATION - Hyderabad
Andhra Pradesh
R&D Systems Inc
Power Electric Distribution Inc
SplitRock Energy
LLC
Oracle / PeopleSoft
Best Buy Corporate
PITNEY BOWES
Uttam Value Steels Ltd - Wardha
MS
IN
Micron Computing Systems - Nagpur
Maharashtra
Soft-Aid Computers Pvt Ltd - Pune
Excel Computers - Nagpur
KCMMF LTD - Thiruvananthapuram
Kerala
Corporate Office - Thiruvananthapuram
Corporate Office
None
aiict computer education - Radhanpur
Gujarat
IANT COMPUTER EDUCATION - Disa
Cisco Systems India Pvt Ltd - Bangalore
Juniper Networks - Bangalore
Alcatel-Lucent - Bangalore
Tech Mahindra - Bangalore
Rtech Information Systems Royal ice cream convergys
Hotel Goan Heritage - Calangute
Goa
Black Net Solutions - Mapusa
Contingent Network Services - Phoenix
AZ
Multi-Systems Inc - Phoenix
Multi-Systems
Inc - Phoenix
Sun Valley Tech Solutions
Inc - Mesa
GROUP7 COMPANY
NTTF INDUSTRIES LIMITED - Vellore
Tamil Nadu
MASQUE Clothing Company - Bandra
Oriental Trading Co
- Mumbai
Concord Brands India Pvt Ltd - Mumbai
Brand House ( a Division of S Kumars) - Mumabi
The JEYPORE SUGAR COMPANY LIMITED
Sai Computer Systems - Hyderabad
United Electronics Company Extra Superstores - Hyderabad
GETRONICS SOLUTIONS PRIVATE LIMITED
BANGALORE - Bangalore
UPRIST TECHNOLOGY SOLUTIONS - Chennai
PE ELECTRONICS LIMITED - Coimbatore
PCYantra Computer Solutions Pvt
Ltd
- Delhi
Delhi
Bank of America
Staples Inc - Broomfield
CO
Pricewaterhousecoopers - Tampa
FL
British Petroleum - Houston
Nordstrom - Seattle
WA
Toyota Motors - Torrance
CA
Cablevision - Bethpage
NY
Citigroup - Tampa
Citigroup - San Francisco
Amtrak - Philadelphia
PA
Macy's - Atlanta
GA
Netegrity
Swarup motors pvt ltd - Delhi
Z Security Systems - Hyderabad
Al Rajhi Construction Llc - Riyadh
Reliance Global Services Ltd - Hyderabad
British Petroleum - Sydney NSW
Computer Links Pvt
Ltd - Meerut
- Meerut
Cogent E Services Pvt
Ltd - Noida
P
D Computers Pvt
Cognizant Technology Solutions - Cognizant Technology Solutions
Uptime Technology - Thane
Bharat Forge Limited - Pune
Crompton Greaves Limited
Traction Electronics Division - Bhopal
Madhya Pradesh
Siemens India - Mumbai
Bureau VERITAS India Pvt
Ltd - Mumbai
Crompton Greaves Ltd - Bhopal
Sirveen Control Systems - Secunderabad
smikz computer - Hyderabad
Modern Industries
Sahibabad
Quadrant EPP Surlon India Ltd
York Scientific Industries Pvt
Digital eye security systems - Mumbai
Magnamious Systems Pvt Ltd - Mumbai
Ericsson Global Services India Pvt Ltd
Ericsson
RCS Technologies
Genisys Information Systems
Current Organization - Wipro Technologies Bengaluru - Bangalore
Snowman Logistics Limited - Bangalore
Xchanging - Bangalore
Shiva Travels
Serco Global Services
Wipro Technologies - Hyderabad
Honeywell International India Pvt Ltd - Pune
Honeywell Automation India Ltd
- HPS Systems BU - Pune
First - Flight Couriers Ltd
- Pune - RHO
- Khamgaon
Vikamshi Fabrics Pvt
AGS Transact Technologies Pvt
Next Education India Pvt
Ltd - Bangalore
Matrix Business Machine Pvt
Ltd - Pune
Arya Infotech Network Solution Pvt
Olympus Computers - Pune
Bharati Vidyapeeth Medical Foundations" Bharati Hospital & Research Center - Pune
Keihin Fie Pvt
Ltd - Chakan
R-Tech Computers Kothrud - Pune
HealthEnablr India Pvt
iSOFTWAREFACTORY - Mumbai
GT Nexus Software (P) Limited - Bangalore
BANK OF AMERICA - Mumbai
Pochee & Sons - Mumbai
Allied Digital services ltd - Hubli
Convergys - Convergys India
Vayam Technologies Limited - Chandigarh
Chandigarh
Ind-Swift Ltd - Baddi
Himachal Pradesh
Convergys India Pvt
- Bangalore
MAERSK GLOBAL SERVICE CENTRES
TCS e- SERVE LTD - Chennai
Royal Montessori Pre - School
Mercedes Benz - Raipur
Chhattisgarh
Webmindz - Bangalore
Resource Integration Solutions Enterprise - Visakhapatnam
Aegis Ltd - Bangalore
LensKart
com - Faridabad
Haryana
MNR Solutions
Cisco Systems - Bangalore
INFOSYS BPO LTD
Intuit India Software
IBM GPS
Convergys India Pvt Ltd
Infosys
Maersk Global Service Center Pvt
WNS
Nestle Oman Trading LLc - Muscat
Oman
Agility Logistics - Muscat
CMS IT Services Pvt
Deputed at Taj Umaid Bhawan Palace
Jodhpur
- Jodhpur
Rajasthan
Working as a Desktop Support Engineer- IMPACT Infotect Pvt
Deputed at HDFC Standard Life Insurance Company Ltd
Jodhpur & also Managing Pali
Balotra
Ajmer
Kota
Makrana & Sriganganagar Branches
C&T FORCE at Jodhpur - Jodhpur
SUTHERLAND GLOBAL SERVICES
Kochartech - Amritsar
Just Dial Ltd - Chennai
Yess0 BPO - Chennai
Yesso Bpo Pvt Ltd - Chennai
Allsec Technologies - Chennai
Computer Hardware
FirstSourceSolutions - Tiruchchirappalli
Aon - Noida
Jammu and kashmir bank - Srinagar
